WOJEWÓDZTWO OPOLSKIE;;;;
Powiat brzeski;;;;
Gmina miejska:;;;;
Brzeg;160101 1;;;
Gminy:;;;;
Grodków;160103 3;;;
Grodków – miasto;160103 4;;;
Grodków – obszar wiejski;160103 5;;;
Lewin Brzeski;160104 3;;;
Lewin Brzeski – miasto;160104 4;;;
Lewin Brzeski – obszar wiejski;160104 5;;;
Lubsza;160105 2;;;
Olszanka;160106 2;;;
Skarbimierz;160102 2;;;
Powiat g³ubczycki;;;;
Gminy:;;;;
Baborów;160201 3;;;
Baborów – miasto;160201 4;;;
Baborów – obszar wiejski;160201 5;;;
Branice;160202 2;;;
G³ubczyce;160203 3;;;
G³ubczyce – miasto;160203 4;;;
G³ubczyce – obszar wiejski;160203 5;;;
Kietrz;160204 3;;;
Kietrz – miasto;160204 4;;;
Kietrz – obszar wiejski;160204 5;;;
Powiat kêdzierzyñsko-kozielski;;;;
Gmina miejska:;;;;
Kêdzierzyn-KoŸle;160301 1;;;
Gminy:;;;;
Bierawa;160302 2;;;
Cisek;160303 2;;;
Paw³owiczki;160304 2;;;
Polska Cerekiew;160305 2;;;
Reñska Wieœ;160306 2;;;
Powiat kluczborski;;;;
Gminy:;;;;
Byczyna;160401 3;;;
Byczyna – miasto;160401 4;;;
Byczyna – obszar wiejski;160401 5;;;
Kluczbork;160402 3;;;
Kluczbork – miasto;160402 4;;;
Kluczbork – obszar wiejski;160402 5;;;
Lasowice Wielkie;160403 2;;;
Wo³czyn;160404 3;;;
Wo³czyn – miasto;160404 4;;;
Wo³czyn – obszar wiejski;160404 5;;;
Powiat krapkowicki;;;;
Gminy:;;;;
Gogolin;160501 3;;;
Gogolin – miasto;160501 4;;;
Gogolin – obszar wiejski;160501 5;;;
Krapkowice;160502 3;;;
Krapkowice – miasto;160502 4;;;
Krapkowice – obszar wiejski;160502 5;;;
Strzeleczki;160503 2;;;
Walce;160504 2;;;
Zdzieszowice;160505 3;;;
Zdzieszowice – miasto;160505 4;;;
Zdzieszowice – obszar wiejski;160505 5;;;
Powiat namys³owski;;;;
Gminy:;;;;
Domaszowice;160601 2;;;
Namys³ów;160602 3;;;
Namys³ów – miasto;160602 4;;;
Namys³ów – obszar wiejski;160602 5;;;
Pokój;160603 2;;;
Œwierczów;160604 2;;;
Wilków;160605 2;;;
Powiat nyski;;;;
Gminy:;;;;
G³ucho³azy;160701 3;;;
G³ucho³azy – miasto;160701 4;;;
G³ucho³azy – obszar wiejski;160701 5;;;
Kamiennik;160702 2;;;
Korfantów;160703 3;;;
Korfantów – miasto;160703 4;;;
Korfantów – obszar wiejski;160703 5;;;
£ambinowice;160704 2;;;
Nysa;160705 3;;;
Nysa – miasto;160705 4;;;
Nysa – obszar wiejski;160705 5;;;
Otmuchów;160706 3;;;
Otmuchów – miasto;160706 4;;;
Otmuchów – obszar wiejski;160706 5;;;
Paczków;160707 3;;;
Paczków – miasto;160707 4;;;
Paczków – obszar wiejski;160707 5;;;
Pakos³awice;160708 2;;;
Skoroszyce;160709 2;;;
Powiat oleski;;;;
Gminy:;;;;
Dobrodzieñ;160801 3;;;
Dobrodzieñ – miasto;160801 4;;;
Dobrodzieñ – obszar wiejski;160801 5;;;
Gorzów Œl¹ski;160802 3;;;
Gorzów Œl¹ski – miasto;160802 4;;;
Gorzów Œl¹ski – obszar wiejski;160802 5;;;
Olesno;160803 3;;;
Olesno – miasto;160803 4;;;
Olesno – obszar wiejski;160803 5;;;
Praszka;160804 3;;;
Praszka – miasto;160804 4;;;
Praszka – obszar wiejski;160804 5;;;
Rad³ów;160805 2;;;
Rudniki;160806 2;;;
Zêbowice;160807 2;;;
Powiat opolski;;;;
Gminy:;;;;
Chrz¹stowice;160901 2;;;
D¹browa;160902 2;;;
Dobrzeñ Wielki;160903 2;;;
Komprachcice;160904 2;;;
£ubniany;160905 2;;;
Murów;160906 2;;;
Niemodlin;160907 3;;;
Niemodlin – miasto;160907 4;;;
Niemodlin – obszar wiejski;160907 5;;;
Ozimek;160908 3;;;
Ozimek – miasto;160908 4;;;
Ozimek – obszar wiejski;160908 5;;;
Popielów;160909 2;;;
Prószków;160910 3;;;
Prószków – miasto;160910 4;;;
Prószków – obszar wiejski;160910 5;;;
Tarnów Opolski;160911 2;;;
Tu³owice;160912 2;kod wygas³ 31.12.2017;;
Tu³owice;160912 3;obowi¹zuje od 01.01.2018;;
Tu³owice – miasto;160912 4;obowi¹zuje od 01.01.2018;;
Tu³owice – obszar wiejski;160912 5;obowi¹zuje od 01.01.2018;;
Turawa;160913 2;;;
Powiat prudnicki;;;;
Gminy:;;;;
Bia³a;161001 3;;;
Bia³a – miasto;161001 4;;;
Bia³a – obszar wiejski;161001 5;;;
G³ogówek;161002 3;;;
G³ogówek – miasto;161002 4;;;
G³ogówek – obszar wiejski;161002 5;;;
Lubrza;161003 2;;;
Prudnik;161004 3;;;
Prudnik – miasto;161004 4;;;
Prudnik – obszar wiejski;161004 5;;;
Powiat strzelecki;;;;
Gminy:;;;;
Izbicko;161101 2;;;
Jemielnica;161102 2;;;
Kolonowskie;161103 3;;;
Kolonowskie – miasto;161103 4;;;
Kolonowskie – obszar wiejski;161103 5;;;
Leœnica;161104 3;;;
Leœnica – miasto;161104 4;;;
Leœnica – obszar wiejski;161104 5;;;
Strzelce Opolskie;161105 3;;;
Strzelce Opolskie – miasto;161105 4;;;
Strzelce Opolskie – obszar wiejski;161105 5;;;
Ujazd;161106 3;;;
Ujazd – miasto;161106 4;;;
Ujazd – obszar wiejski;161106 5;;;
Zawadzkie;161107 3;;;
Zawadzkie – miasto;161107 4;;;
Zawadzkie – obszar wiejski;161107 5;;;
Miasto na prawach powiatu:;;;;
Powiat m. Opole;;;;
M. Opole;166101 1;;;
WOJEWÓDZTWO PODKARPACKIE;;;;
Powiat bieszczadzki;;;;
Gminy:;;;;
Czarna;180103 2;;;
Lutowiska;180105 2;;;
Ustrzyki Dolne;180108 3;;;
Ustrzyki Dolne – miasto;180108 4;;;
Ustrzyki Dolne – obszar wiejski;180108 5;;;
Powiat brzozowski;;;;
Gminy:;;;;
Brzozów;180201 3;;;
Brzozów – miasto;180201 4;;;
Brzozów – obszar wiejski;180201 5;;;
Domaradz;180202 2;;;
Dydnia;180203 2;;;
Haczów;180204 2;;;
Jasienica Rosielna;180205 2;;;
Nozdrzec;180206 2;;;
Powiat dêbicki;;;;
Gmina miejska:;;;;
Dêbica;180301 1;;;
Gminy:;;;;
Brzostek;180302 3;;;
Brzostek – miasto;180302 4;;;
Brzostek – obszar wiejski;180302 5;;;
Czarna;180303 2;;;
Dêbica;180304 2;;;
Jod³owa;180305 2;;;
Pilzno;180306 3;;;
Pilzno – miasto;180306 4;;;
Pilzno – obszar wiejski;180306 5;;;
¯yraków;180307 2;;;
Powiat jaros³awski;;;;
Gminy miejskie:;;;;
Jaros³aw;180401 1;;;
Radymno;180402 1;;;
Gminy:;;;;
Ch³opice;180403 2;;;
Jaros³aw;180404 2;;;
Laszki;180405 2;;;
Paw³osiów;180406 2;;;
Pruchnik;180407 3;;;
Pruchnik – miasto;180407 4;;;
Pruchnik – obszar wiejski;180407 5;;;
Radymno;180408 2;;;
Rokietnica;180409 2;;;
RoŸwienica;180410 2;;;
Wi¹zownica;180411 2;;;
Powiat jasielski;;;;
Gmina miejska:;;;;
Jas³o;180501 1;;;
Gminy:;;;;
Brzyska;180502 2;;;
Dêbowiec;180503 2;;;
Jas³o;180504 2;;;
Ko³aczyce;180505 3;;;
Ko³aczyce – miasto;180505 4;;;
Ko³aczyce – obszar wiejski;180505 5;;;
Krempna;180506 2;;;
Nowy ¯migród;180507 2;;;
Osiek Jasielski;180508 2;;;
Sko³yszyn;180509 2;;;
Tarnowiec;180511 2;;;
Powiat kolbuszowski;;;;
Gminy:;;;;
Cmolas;180601 2;;;
Dzikowiec;180606 2;;;
Kolbuszowa;180602 3;;;
Kolbuszowa – miasto;180602 4;;;
Kolbuszowa – obszar wiejski;180602 5;;;
Majdan Królewski;180603 2;;;
Niwiska;180604 2;;;
Rani¿ów;180605 2;;;
Powiat kroœnieñski;;;;
Gminy:;;;;
Chorkówka;180701 2;;;
Dukla;180702 3;;;
Dukla – miasto;180702 4;;;
Dukla – obszar wiejski;180702 5;;;
Iwonicz-Zdrój;180703 3;;;
Iwonicz-Zdrój – miasto;180703 4;;;
Iwonicz-Zdrój – obszar wiejski;180703 5;;;
Jaœliska;180710 2;;;
Jedlicze;180704 3;;;
Jedlicze – miasto;180704 4;;;
Jedlicze – obszar wiejski;180704 5;;;
Korczyna;180705 2;;;
Kroœcienko Wy¿ne;180706 2;;;
Miejsce Piastowe;180707 2;;;
Rymanów;180708 3;;;
Rymanów – miasto;180708 4;;;
Rymanów – obszar wiejski;180708 5;;;
Wojaszówka;180709 2;;;
Powiat leski;;;;
Gminy:;;;;
Baligród;182101 2;;;
Cisna;182102 2;;;
Lesko;182103 3;;;
Lesko – miasto;182103 4;;;
Lesko – obszar wiejski;182103 5;;;
Olszanica;182104 2;;;
Solina;182105 2;;;
Powiat le¿ajski;;;;
Gmina miejska:;;;;
Le¿ajsk;180801 1;;;
Gminy:;;;;
Grodzisko Dolne;180802 2;;;
Kury³ówka;180803 2;;;
Le¿ajsk;180804 2;;;
Nowa Sarzyna;180805 3;;;
Nowa Sarzyna – miasto;180805 4;;;
Nowa Sarzyna – obszar wiejski;180805 5;;;
Powiat lubaczowski;;;;
Gmina miejska:;;;;
Lubaczów;180901 1;;;
Gminy:;;;;
Cieszanów;180902 3;;;
Cieszanów – miasto;180902 4;;;
Cieszanów – obszar wiejski;180902 5;;;
Horyniec Zdrój;180903 2;;;
Lubaczów;180904 2;;;
Narol;180905 3;;;
Narol – miasto;180905 4;;;
Narol – obszar wiejski;180905 5;;;
Oleszyce;180906 3;;;
Oleszyce – miasto;180906 4;;;
Oleszyce – obszar wiejski;180906 5;;;
Stary Dzików;180907 2;;;
Wielkie Oczy;180908 2;;;
Powiat ³añcucki;;;;
Gmina miejska:;;;;
£añcut;181001 1;;;
Gminy:;;;;
Bia³obrzegi;181002 2;;;
Czarna;181003 2;;;
£añcut;181004 2;;;
Markowa;181005 2;;;
Rakszawa;181006 2;;;
¯o³ynia;181007 2;;;
Powiat mielecki;;;;
Gmina miejska:;;;;
Mielec;181101 1;;;
Gminy:;;;;
Borowa;181102 2;;;
Czermin;181103 2;;;
Gaw³uszowice;181104 2;;;
Mielec;181105 2;;;
Padew Narodowa;181106 2;;;
Przec³aw;181107 3;;;
Przec³aw – miasto;181107 4;;;
Przec³aw – obszar wiejski;181107 5;;;
Radomyœl Wielki;181108 3;;;
Radomyœl Wielki – miasto;181108 4;;;
Radomyœl Wielki – obszar wiejski;181108 5;;;
Tuszów Narodowy;181109 2;;;
Wadowice Górne;181110 2;;;
Powiat ni¿añski;;;;
Gminy:;;;;
Harasiuki;181201 2;;;
Jarocin;181202 2;;;
Je¿owe;181203 2;;;
Krzeszów;181204 2;;;
Nisko;181205 3;;;
Nisko – miasto;181205 4;;;
Nisko – obszar wiejski;181205 5;;;
Rudnik nad Sanem;181206 3;;;
Rudnik nad Sanem – miasto;181206 4;;;
Rudnik nad Sanem – obszar wiejski;181206 5;;;
Ulanów;181207 3;;;
Ulanów – miasto;181207 4;;;
Ulanów – obszar wiejski;181207 5;;;
Powiat przemyski;;;;
Gminy:;;;;
Bircza;181301 2;;;
Dubiecko;181302 2;kod wygas³ 31.12.2020;;
Dubiecko;181302 3;obowi¹zuje od 01.01.2021;;
Dubiecko – miasto;181302 4;obowi¹zuje od 01.01.2021;;
Dubiecko – obszar wiejski;181302 5;obowi¹zuje od 01.01.2021;;
Fredropol;181303 2;;;
Krasiczyn;181304 2;;;
Krzywcza;181305 2;;;
Medyka;181306 2;;;
Or³y;181307 2;;;
Przemyœl;181308 2;;;
Stubno;181309 2;;;
¯urawica;181310 2;;;
Powiat przeworski;;;;
Gmina miejska:;;;;
Przeworsk;181401 1;;;
Gminy:;;;;
Adamówka;181402 2;;;
Gaæ;181403 2;;;
Jawornik Polski;181404 2;;;
Kañczuga;181405 3;;;
Kañczuga – miasto;181405 4;;;
Kañczuga – obszar wiejski;181405 5;;;
Przeworsk;181406 2;;;
Sieniawa;181407 3;;;
Sieniawa – miasto;181407 4;;;
Sieniawa – obszar wiejski;181407 5;;;
Tryñcza;181408 2;;;
Zarzecze;181409 2;;;
Powiat ropczycko-sêdziszowski;;;;
Gminy:;;;;
Iwierzyce;181501 2;;;
Ostrów;181502 2;;;
Ropczyce;181503 3;;;
Ropczyce – miasto;181503 4;;;
Ropczyce – obszar wiejski;181503 5;;;
Sêdziszów Ma³opolski;181504 3;;;
Sêdziszów Ma³opolski – miasto;181504 4;;;
Sêdziszów Ma³opolski – obszar wiejski;181504 5;;;
Wielopole Skrzyñskie;181505 2;;;
Powiat rzeszowski;;;;
Gmina miejska:;;;;
Dynów;181601 1;;;
Gminy:;;;;
B³a¿owa;181602 3;;;
B³a¿owa – miasto;181602 4;;;
B³a¿owa – obszar wiejski;181602 5;;;
Boguchwa³a;181603 3;;;
Boguchwa³a – miasto;181603 4;;;
Boguchwa³a – obszar wiejski;181603 5;;;
Chmielnik;181604 2;;;
Dynów;181605 2;;;
G³ogów Ma³opolski;181606 3;;;
G³ogów Ma³opolski – miasto;181606 4;;;
G³ogów Ma³opolski – obszar wiejski;181606 5;;;
Hy¿ne;181607 2;;;
Kamieñ;181608 2;;;
Krasne;181609 2;;;
Lubenia;181610 2;;;
Soko³ów Ma³opolski;181611 3;;;
Soko³ów Ma³opolski – miasto;181611 4;;;
Soko³ów Ma³opolski – obszar wiejski;181611 5;;;
Œwilcza;181612 2;;;
Trzebownisko;181613 2;;;
Tyczyn;181614 3;;;
Tyczyn – miasto;181614 4;;;
Tyczyn – obszar wiejski;181614 5;;;
Powiat sanocki;;;;
Gmina miejska:;;;;
Sanok;181701 1;;;
Gminy:;;;;
Bosko;181702 2;;;
Bukowsko;181703 2;;;
Komañcza;181704 2;;;
Sanok;181705 2;;;
Tyrawa Wo³oska;181706 2;;;
Zagórz;181707 3;;;
Zagórz – miasto;181707 4;;;
Zagórz – obszar wiejski;181707 5;;;
Zarszyn;181708 2;;;
Powiat stalowowolski;;;;
